index,dataset,polarity,truthfulness,fold,txt_path
0,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_1.txt
1,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_10.txt
2,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_11.txt
3,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_12.txt
4,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_13.txt
5,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_14.txt
6,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_15.txt
7,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_16.txt
8,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_17.txt
9,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_18.txt
10,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_19.txt
11,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_2.txt
12,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_20.txt
13,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_3.txt
14,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_4.txt
15,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_5.txt
16,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_6.txt
17,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_7.txt
18,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_8.txt
19,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_9.txt
20,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_james_1.txt
21,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_james_10.txt
22,op_spam_v1.4,negative_polarity,deceptive_from_MTurk,fold1,op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_james_11.txt
