model1,model1_scores,model2,model2_scores,stat,p
multiNB_k_5,"0.895,0.9,0.877,0.902,0.891",logReg_k_5,"0.75,0.758,0.828,0.742,0.875",0.0,0.0625
multiNB_k_5,"0.895,0.9,0.877,0.902,0.891",decTree_k_5,"0.7265625,0.65625,0.734375,0.7109375,0.75",0.0,0.0625
logReg_k_5,"0.75,0.758,0.828,0.742,0.875",decTree_k_5,"0.7265625,0.65625,0.734375,0.7109375,0.75",0.0,0.0625
multiNB_k_5,"0.895,0.9,0.877,0.902,0.891",randForr_k_5,"0.875,0.796875,0.7734375,0.7734375,0.8359375",0.0,0.0625
logReg_k_5,"0.75,0.758,0.828,0.742,0.875",randForr_k_5,"0.875,0.796875,0.7734375,0.7734375,0.8359375",7.0,1.0
randForr_k_5,"0.875,0.796875,0.7734375,0.7734375,0.8359375",decTree_k_5,"0.7265625,0.65625,0.734375,0.7109375,0.75",0.0,0.0625
multiNB_k_5,"0.895,0.9,0.877,0.902,0.891",gradBoost_k_5,"0.8828,0.8281,0.7969,0.7969,0.8203",0.0,0.0625
logReg_k_5,"0.75,0.758,0.828,0.742,0.875",gradBoost_k_5,"0.8828,0.8281,0.7969,0.7969,0.8203",3.0,0.3125
decTree_k_5,"0.7265625,0.65625,0.734375,0.7109375,0.75",gradBoost_k_5,"0.8828,0.8281,0.7969,0.7969,0.8203",0.0,0.0625
randForr_k_5,"0.875,0.796875,0.7734375,0.7734375,0.8359375",gradBoost_k_5,"0.8828,0.8281,0.7969,0.7969,0.8203",2.0,0.1875
